;;срочность;Результат;;;;;;;;;;;;;;;;;;;;;;
74;Блок фотографии в карточке товара опустить ниже чтобы поле фото было одинаковое сверху и снизу. http://joxi.ru/KAx6PERHKP871m ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
75;Растащить стоимости http://joxi.ru/p27DqdeUN1xeZA ;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
75;Кнопку купить сделать квадратной со значьком корзины как в шоблоне при просмотре плиткой http://joxi.ru/v295MKeFpoYeK2 ;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
76;Сделать значек серый значек лупы на фото товара чтобы было понятно что при клике можно увеличить фото. http://joxi.ru/DmB3okei4MxeM2 При клике фото увеличивается, а снизу показваются остальные фото со стрелочками прокрутки как напрммер здесь: https://www.techport.ru/katalog/products/vstraivaemaja-bytovaja-tehnika/stiralnye-mashiny/vstraivaemaja-stiralnaja-mashina-candy-cbwm ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
77;Убрать пустое место http://joxi.ru/8AngPyDCyPRDjr ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
78;При перемещении товара колесиком мыши верхние подразделы каталога должны оставаться а месте: http://joxi.ru/bmoMP7QUyzQwJA ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
79;Поправить значек сравнение 7http://joxi.ru/RmzdPlOTMPqW5A                                                                                                                                                                ;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
80;Полоса прокрутки http://joxi.ru/D2PMOpRUJVQqPA должна быть отцентрована как в шаблоне: http://joxi.ru/Q2K8KMdUvxnw0A ;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
81;"Данные товара надо не центровать по середине целиком блоком чтобы не было пустых мест по побокам http://joxi.ru/D2PMOpRUJVQwYA 
Нужно вернуть как было о этого и отцентровать содержимое карточки в поле: http://joxi.ru/p27DqdeUN1MxnA   ";важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
82;Немного уменьшаем размер значка: http://joxi.ru/vAWQ7w1hO8ax5m;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
83;Центруем по горизонтали и ширине название товара: http://joxi.ru/MAj8PXVUkpEBOm;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
84;"Вместь сроков поставки указать кол-во раз которое купили товар (""куплен 155 раз""): http://joxi.ru/KAg1l39UKMjlvm ";средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
85;Когда пользователь переходит в корзину, то первым действием у него всплывает окно в котором он должен ввести номер телефона либо адрес электронной почты чтобы авторизироваться как сделано например у озона: https://www.ozon.ru/gocheckout/login?hideEmail=1 На телефон ему приходит смс с проверочным кодом, который он должен ввести в поле. оответственно к этому тел. номеру и почте автоматически формируется его карточка клиента. Если пользователь уже зарегистрирован на указанный тел. номер или почту, то соответственнно на него уже есть карточка клиента.;важно;в разработке;Да про это, надо сделать аналогично.;;;;;;;;;;;;;;;;;;;;;
86;Увеличить шрифт и зармеры квадратиков соответственно всех варианов выбора галочками: http://joxi.ru/DmBYGqkT4XkWxr ;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
87;Отцентровать по высоте название галочки по отношению к самой галочке: http://joxi.ru/EA4YOj5Tpd6Zxr ;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
88;Увеличить отступы: http://joxi.ru/EA4YOj5Tpd6xxr ;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
89;Убрать все черточки между блоками и сделать белые островки по варианту который ты мне показал, а также поработать над всеми отступами: http://joxi.ru/4Ak6Yaxikx7RN2 ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
90;Перенести промокод, итоговое кол-во и итоговую цену в первый блок вниз: http://joxi.ru/vAW8xvwCOYo0qr ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
91;Удалить и перенести блоки: http://joxi.ru/Q2KZ6GMcvz6dRm ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
92;Сделать так, чтобы в период сессии (и куки) при сворачивании каталога он не развочивался при переходе из зазделов в раздел (например если свернуть каталог в разделе товаров и перейти в заказы, то он снова разворачивается).;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
93;Поправить определение города. Например я нахожусь в Сочи, а определяет как г. Санкт-Петербкрг: http://joxi.ru/l2ZqyEDc76q6bm ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
94;Раскидать информацию в карточке товара при просмотре чтобы было удобно просматривать, нечего не вылазило, не перескакивало: http://joxi.ru/Dr8YkjLTMV7o7m ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
95;При просмотре товара http://joxi.ru/J2bzGYLCV89GX2 должна быть вот эта строка: http://joxi.ru/YmE5jG7hMnRwgm ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
95;"Кнопки карандаша и сравнения http://joxi.ru/a2XNkEPi4x6Der должны быть прозрачными без черного цвета как у кнопки ""избранное"". При добавлении товара в ""избранное"" и "" сравнение"" эти кнопки становятся цветными. Цвета как у логотипа.";средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
96;Допилить функцию обьединения товаров в административной части Карточки товара: http://joxi.ru/Y2LaWBGsE3BEDA;важно;в разработке;;;;;;;;;;;;;;;;;;;;;;
97;Убрать перенос, сделав в одну строку: http://joxi.ru/Q2KZ6GMcvzBvBm ;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
98;поправить полосу (с желтого на серый) http://joxi.ru/KAxkwNEUv45LP2;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
99;добавить желтый заголовок в каталог;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
100;сделать отсуп в редакторе товара http://joxi.ru/BA0YZNDTvBDKlr;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
101;сделать с заглавной http://joxi.ru/EA4YOj5TvDEGKr;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
102;сделать отсуп поменьше http://joxi.ru/BA0YZNDTvBDzlr;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
103;поправить вертикальные отсупы http://joxi.ru/n2YJ1v4i7jzO4A;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
104;артикул под логотипом по центру http://joxi.ru/Vm6YXlWTRxpk8r;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
105;убрать из корзины http://joxi.ru/DrlWeRkHG4gOoA (также поправить смещение в колонках);средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
106;убрать перенос полей http://joxi.ru/DrlWeRkHG4gjoA , также поправить поле для юр.лица;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
107;поправить отсупы http://joxi.ru/l2ZqyEDcR8vQgm;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
108;убрать кнопку чата с шапки;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
109;добавить сбоку кнопку чата;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
110;"доделать блок добавления ""Новый заказ""";важно;в разработке;;;;;;;;;;;;;;;;;;;;;;
111;Чат должен открываться только когда пользователь вошел в свой аккаунт.;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
112;Поехал столбец, иконки сообщений и почты должны быть четко по центру названия столбца: http://joxi.ru/DmB3okeigdg9R2;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
113;"При нажатии на кнопку ""ВЫХОД"" не должно быть белое поле. Кнопка должна заменится на ""ВОЙТИ"" и пользователь должен выйти из аккаунта вернувшись на главную страницу.";важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
114;Крестик закрытия чата ты поместил в верхний угол сдвинув вниз строку поиска вниз тем самым сократив кол-во видимых пользователей. Нужно сделать боле аккуратно немного увеличив серый крестик в размере, при этом крестик не должен иметь рамок, а справа от него разместить строку поиска. Будет выглядить  вот так схематично: http://joxi.ru/RmzdPlOTjXvZpA;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
115;"При наведении на кнопку ""Чат 349"" курсор должен менятся не на ""I"" а на изображение руки как во всех других местах.";важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
116;Нужно устранить баг: http://joxi.ru/V2VzyVkC8EB652;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
117;Корзина: http://joxi.ru/p27DqdeUn3ZKBA;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
118;Сделать одинаковые отступы: http://joxi.ru/L21D1YeUzGDgKm;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
119;Поле должно быть вровень с фильтром: http://joxi.ru/D2PMOpRUBjRv7A;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
120;Нужно увеличить размер поля http://joxi.ru/EA4D85eUvPQGbA;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
